----------------------------------------
Begin PBS Prologue Wed Nov 23 20:38:16 EST 2016 1479951496
Job ID:		73352363.gm-1r16-n04.guillimin.clumeq.ca
Username:	akashi
Group:		rck-371-01
Nodes:		sw-4r02-n11
End PBS Prologue Wed Nov 23 20:38:17 EST 2016 1479951497
----------------------------------------
Unsteady: 10000 1 0 0 vanleer 0.2 0.2 1
Euler1d: Using Van Leer numerical flux.
Euler1d: No slope reconstruction to be used.
MUSCLReconstruction: Using Van Albada limiter
Euler1d: Using MUSCL face reconstruction.
Euler1dExplicit: Using 1-stage TVD RK scheme; loaded coefficients.
Euler1dExplicit: run(): Step 2100 - Time = 0.00101982
Euler1dExplicit: run(): Step 2110 - Time = 0.00101982
Euler1dExplicit: run(): Step 2120 - Time = 0.00101982
Euler1dExplicit: run(): Step 2130 - Time = 0.00101982
Euler1dExplicit: run(): Step 2140 - Time = 0.00101982
Euler1dExplicit: run(): Step 2150 - Time = 0.00101982
Euler1dExplicit: run(): Step 2160 - Time = 0.00101982
Euler1dExplicit: run(): Step 2170 - Time = 0.00101982
Euler1dExplicit: run(): Step 2180 - Time = 0.00101982
Euler1dExplicit: run(): Step 2190 - Time = 0.00101982
Euler1dExplicit: run(): Step 2200 - Time = 0.00101982
Euler1dExplicit: run(): Step 2210 - Time = 0.00101982
Euler1dExplicit: run(): Step 2220 - Time = 0.00101982
Euler1dExplicit: run(): Step 2230 - Time = 0.00101982
Euler1dExplicit: run(): Step 2240 - Time = 0.00101982
Euler1dExplicit: run(): Step 2250 - Time = 0.00101982
Euler1dExplicit: run(): Step 2260 - Time = 0.00101982
Euler1dExplicit: run(): Step 2270 - Time = 0.00101982
Euler1dExplicit: run(): Step 2280 - Time = 0.00101982
Euler1dExplicit: run(): Step 2290 - Time = 0.00101982
Euler1dExplicit: run(): Step 2300 - Time = 0.00101982
Euler1dExplicit: run(): Step 2310 - Time = 0.00101982
Euler1dExplicit: run(): Step 2320 - Time = 0.00101982
Euler1dExplicit: run(): Step 2330 - Time = 0.00101982
Euler1dExplicit: run(): Step 2340 - Time = 0.00101982
Euler1dExplicit: run(): Step 2350 - Time = 0.00101982
Euler1dExplicit: run(): Step 2360 - Time = 0.00101982
Euler1dExplicit: run(): Step 2370 - Time = 0.00101982
Euler1dExplicit: run(): Step 2380 - Time = 0.00101982
Euler1dExplicit: run(): Step 2390 - Time = 0.00101982
Euler1dExplicit: run(): Step 2400 - Time = 0.00101982
Euler1dExplicit: run(): Step 2410 - Time = 0.00101982
Euler1dExplicit: run(): Step 2420 - Time = 0.00101982
Euler1dExplicit: run(): Step 2430 - Time = 0.00101982
Euler1dExplicit: run(): Step 2440 - Time = 0.00101982
Euler1dExplicit: run(): Step 2450 - Time = 0.00101982
Euler1dExplicit: run(): Step 2460 - Time = 0.00101982
Euler1dExplicit: run(): Step 2470 - Time = 0.00101982
Euler1dExplicit: run(): Step 2480 - Time = 0.00101982
Euler1dExplicit: run(): Step 2490 - Time = 0.00101982
Euler1dExplicit: run(): Step 2500 - Time = 0.00101982
Euler1dExplicit: run(): Step 2510 - Time = 0.00101982
Euler1dExplicit: run(): Step 2520 - Time = 0.00101982
Euler1dExplicit: run(): Step 2530 - Time = 0.00101982
Euler1dExplicit: run(): Step 2540 - Time = 0.00101982
Euler1dExplicit: run(): Step 2550 - Time = 0.00101982
Euler1dExplicit: run(): Step 2560 - Time = 0.00101982
